id;latest_quotation;min_qty;valid_date;delivery_days;history_price;current_tax_price;current_price_valid_date;net_price;net_url;status;remark;created_by;created_date;last_modified_by;last_modified_date
1;15844;91979;2020-09-01;75793;43242;30447;2020-09-01;31867;cross-platform;BEGIN;demand-driven;Metrics;2020-08-31T22:16:14;turquoise;2020-08-31T13:25:20
2;23853;74227;2020-09-01;34735;60470;29307;2020-08-31;78386;Internal Supervisor;BEGIN;Toys utilize;Fish District;2020-09-01T03:00:49;Soft silver RSS;2020-08-31T22:48:09
3;96934;67640;2020-08-31;88554;12586;42683;2020-08-31;36036;Small bypass Avon;FAILED;Berkshire;tangible;2020-09-01T04:02:34;firmware Brazil COM;2020-08-31T14:18:02
4;22326;78243;2020-08-31;62167;88478;24613;2020-08-31;28914;Accounts Home;BEGIN;Integration Lane Sao Tome and Principe;Cambridgeshire;2020-08-31T23:40:03;fuchsia index;2020-09-01T05:43:28
5;90021;28166;2020-08-31;46716;77224;87679;2020-08-31;96104;Bedfordshire Gorgeous;COMPLETE;Georgia Money Market Account Agent;protocol;2020-08-31T16:36:24;Tasty Wooden Bacon;2020-08-31T14:16:28
6;47502;28724;2020-08-31;62175;26612;46718;2020-09-01;27825;neural;BEGIN;panel out-of-the-box;Cambridgeshire Wooden;2020-08-31T22:42:43;withdrawal viral distributed;2020-09-01T06:01:08
7;51805;28724;2020-09-01;10057;22275;6594;2020-08-31;21187;iterate Spain communities;BEGIN;bi-directional;Metical Steel vortals;2020-09-01T04:45:19;Oklahoma;2020-08-31T20:51:13
8;1835;4913;2020-09-01;15551;35886;84612;2020-09-01;42534;Moldova coherent;COMPLETE;Sleek Rubber Pants;bus systematic facilitate;2020-08-31T15:02:18;Branding California;2020-09-01T03:41:45
9;36153;36600;2020-08-31;12741;9239;66869;2020-09-01;5515;Customer-focused;BEGIN;modular;JSON override;2020-08-31T17:54:17;violet Product Soap;2020-08-31T16:25:52
10;29231;87404;2020-08-31;27438;48228;53788;2020-08-31;21081;UIC-Franc index Toys;BEGIN;tangible;Re-engineered SAS Kroon;2020-08-31T18:03:59;Pa'anga card demand-driven;2020-08-31T11:29:07
